"iso","country","year_investment","sector","subsector","investor","region","share_size","bri","gdp","investment","investments_share_percent_gdp"
"GNQ","Equatorial Guinea",2009,"Energy","Gas","China National Machinery Industry (Sinomach)","Sub-Saharan Africa",NA,0,15027795173.2187,1.2e+08,0.798520332602444
"GNQ","Equatorial Guinea",2010,"Energy",NA,"Sinohydro","Sub-Saharan Africa",NA,0,16314443428.9408,3.2e+08,1.96145214143401
"GRC","Greece",2008,"Transport","Shipping","China Ocean Shipping (COSCO)","Europe & Central Asia",NA,0,354460802695.181,5.79e+09,1.63346693230256
"GRC","Greece",2016,"Energy",NA,"State Grid","Europe & Central Asia","0.24",0,193017030649.7,6.7e+08,0.347119628638345
"GRC","Greece",2017,"Energy","Alternative","China Energy Investment","Europe & Central Asia","0.75",0,199350781053.185,1.64e+09,0.822670466268433
"GRC","Greece",2019,"Transport","Shipping","China Ocean Shipping (COSCO)","Europe & Central Asia",NA,1,205144152830.847,6.9e+08,0.33634885054167
"GTM","Guatemala",2010,"Energy",NA,"China Machine New Energy","Latin America & Caribbean",NA,0,40676432028.5934,7e+08,1.72089823293237
"GUY","Guyana",2012,"Energy","Hydro","China Railway Engineering","Latin America & Caribbean",NA,0,4063089191.87525,5.1e+08,12.5520257103836
"GUY","Guyana",2018,"Energy","Oil","China National Off-shore Oil (CNOOC)","Latin America & Caribbean","0.25",1,4787636237.24043,9.3e+08,19.4250346917762
"GUY","Guyana",2019,"Energy","Oil","China National Off-shore Oil (CNOOC)","Latin America & Caribbean","0.25",1,5173760191.84652,4e+08,7.73132084147177
"HND","Honduras",2013,"Energy","Hydro","Power Construction Corp. (PowerChina)","Latin America & Caribbean",NA,0,18372173380.7373,3.5e+08,1.90505495864177
"HRV","Croatia",2018,"Energy","Alternative","China North Industries (Norinco)","Europe & Central Asia","0.76",1,62247874948.8225,2.2e+08,0.353425719642437
"HUN","Hungary",2019,"Energy","Alternative","China General Technology (Genertec)","Europe & Central Asia",NA,1,163526491433.29,1.15e+09,0.703249968809572
"IDN","Indonesia",2005,"Energy","Coal","China National Machinery Industry (Sinomach), Sinohydro","East Asia & Pacific",NA,0,285868618224.017,8.6e+08,0.300837498478435
"IDN","Indonesia",2006,"Energy","Oil","China International Trust and Investment (CITIC)","East Asia & Pacific","0.51",0,364570514304.85,1.31e+09,0.359326919923259
"IDN","Indonesia",2007,"Energy","Hydro","Sinohydro","East Asia & Pacific","0.7",0,432216737774.861,2.48e+09,0.573786201054485
"IDN","Indonesia",2008,"Energy",NA,"China National Machinery Industry (Sinomach)","East Asia & Pacific",NA,0,510228634992.258,1.26e+09,0.246948115724457
"IDN","Indonesia",2009,"Energy","Coal","Shenhua","East Asia & Pacific","0.7",0,539580085612.401,2.3e+08,0.0426257391873459
"IDN","Indonesia",2010,"Energy","Gas","China Petroleum and Chemical (Sinopec)","East Asia & Pacific","0.18",0,755094160363.071,8.3e+08,0.109920066075059
"IDN","Indonesia",2011,"Energy","Coal","Power Construction Corp. (PowerChina)","East Asia & Pacific",NA,0,892969107923.094,1.62e+09,0.181417250118301
"IDN","Indonesia",2012,"Energy","Coal","Dongfang Electric Corporation","East Asia & Pacific",NA,0,917869910105.749,1.48e+09,0.161242893323465
"IDN","Indonesia",2013,"Transport","Shipping","China Communications Construction","East Asia & Pacific","0.7",0,912524136718.018,1.26e+09,0.138078539438059
"IDN","Indonesia",2014,"Energy","Coal","China National Machinery Industry (Sinomach)","East Asia & Pacific",NA,0,890814755233.225,2.03e+09,0.227881272517598
"IDN","Indonesia",2015,"Energy","Coal","China National Machinery Industry (Sinomach)","East Asia & Pacific",NA,0,860854235065.079,4.45e+09,0.516928397252247
"IDN","Indonesia",2016,"Energy","Coal","Harbin Electric","East Asia & Pacific",NA,0,931877364177.742,3.07e+09,0.329442490826984
"IDN","Indonesia",2017,"Energy","Gas","China National Off-shore Oil (CNOOC)","East Asia & Pacific","0.14000000000000001",0,1015618742565.81,1.68e+09,0.165416403773303
"IDN","Indonesia",2018,"Energy","Gas","China Energy Engineering","East Asia & Pacific",NA,1,1042271531011.99,4.09e+09,0.392412138133412
"IDN","Indonesia",2019,"Energy",NA,"China Energy Engineering","East Asia & Pacific",NA,1,1119091259074.62,1.06e+09,0.0947197104261646
"IDN","Indonesia",2020,"Transport","Rail","China Railway Engineering","East Asia & Pacific",NA,1,1058423838345.14,3.09e+09,0.291943537933845
"IND","India",2006,"Energy","Coal","Shandong Electric Power Construction III","South Asia",NA,0,940259888792.141,1.5e+09,0.159530361539393
"IND","India",2007,"Energy","Coal","Shandong Electric Power Construction","South Asia",NA,0,1216735441524.86,4.55e+09,0.373951464280334
"IND","India",2008,"Energy","Coal","Shanghai Electric","South Asia",NA,0,1198895582137.51,1.47e+09,0.122612846514885
"IND","India",2009,"Energy","Coal","Shandong Electric Power Construction III","South Asia",NA,0,1341886602798.69,8.1e+08,0.0603627756854143
"IND","India",2010,"Energy","Coal","Harbin Electric","South Asia",NA,0,1675615335600.56,1.85e+09,0.110407201503497
"IND","India",2011,"Energy","Coal","Shandong Electric Power Construction","South Asia",NA,0,1823049927771.46,3e+08,0.0164559398747091
"IND","India",2012,"Energy",NA,"Tebian Electric Apparatus (TBEA)","South Asia","1",0,1827637859135.7,2e+08,0.0109430869469174
"IND","India",2013,"Energy","Coal","Power Construction Corp. (PowerChina)","South Asia",NA,0,1856722121394.53,2.7e+09,0.145417559735439
"IND","India",2014,"Energy",NA,"Tebian Electric Apparatus (TBEA)","South Asia",NA,0,2039127446298.55,1e+08,0.00490405835993828
"IND","India",2015,"Energy","Alternative","Trina Solar","South Asia",NA,0,2103587813812.75,4.8e+08,0.0228181584266739
"IND","India",2016,"Energy",NA,"Jiangsu Longze","South Asia","0.51",0,2294797980509.01,1.3e+08,0.00566498668310509
"IND","India",2018,"Energy","Alternative","China Poly","South Asia","0.4",0,2701111782775.03,6.8e+08,0.0251748189148022
"IND","India",2019,"Energy","Coal","Power Construction Corp. (PowerChina)","South Asia",NA,0,2870504096717.77,1.86e+09,0.0647969812036425
"IND","India",2020,"Transport","Rail","Dongbei Steel","South Asia","0.9",0,2660245248867.63,1.4e+08,0.00526267268251275
"IRL","Ireland",2016,"Energy","Alternative","China General Nuclear Power","Europe & Central Asia",NA,0,298725229419.215,4.3e+08,0.143944989459381
"IRN","Iran",2006,"Energy","Oil","China Petroleum and Chemical (Sinopec)","Middle East & North Africa",NA,0,266298911661.144,3.15e+09,1.18288128943173
"IRN","Iran",2007,"Energy","Hydro","Gezhouba","Middle East & North Africa","0.49",0,349881601458.56,2.22e+09,0.634500354047035
"IRN","Iran",2009,"Energy","Oil","China National Petroleum Corp. (CNPC)","Middle East & North Africa",NA,0,416397025729.361,1.76e+09,0.422673528207168
"IRN","Iran",2010,"Energy","Hydro","Sinohydro","Middle East & North Africa",NA,0,486807615326.147,1.5e+09,0.308129937325455
"IRN","Iran",2011,"Transport","Rail","China North Industries (Norinco)","Middle East & North Africa",NA,0,580764902917.439,5.9e+08,0.101590161016303
"IRN","Iran",2012,"Transport","Rail","China North Industries (Norinco)","Middle East & North Africa",NA,0,598868460912.847,1.25e+09,0.20872697121078
"IRN","Iran",2014,"Transport","Rail","China National Machinery Industry (Sinomach)","Middle East & North Africa",NA,0,432687036177.818,5e+08,0.115556963392478
"IRN","Iran",2016,"Energy","Gas","China National Petroleum Corp. (CNPC)","Middle East & North Africa","0.3",0,417983583565.54,9.3e+08,0.222496776563995
"IRN","Iran",2017,"Energy","Oil","China Petroleum and Chemical (Sinopec)","Middle East & North Africa",NA,1,445345256459.105,1.64e+09,0.368253613620918
"IRN","Iran",2018,"Transport","Rail","China Railway Construction","Middle East & North Africa",NA,1,294356680624.658,2.08e+09,0.706625715300908
"IRN","Iran",2019,"Transport","Rail","China General Technology (Genertec), Beijing Power","Middle East & North Africa",NA,1,258245497664.394,1.54e+09,0.596331790458289
"IRQ","Iraq",2007,"Energy",NA,"Shanghai Electric","Middle East & North Africa",NA,0,88837055195.2619,1.08e+09,1.21570891518881
"IRQ","Iraq",2009,"Energy","Oil","China National Petroleum Corp. (CNPC)","Middle East & North Africa",NA,0,111657581662.35,8.58e+09,7.68420726318946
"IRQ","Iraq",2011,"Energy",NA,"Shanghai Electric","Middle East & North Africa",NA,0,185749664444.444,1.18e+09,0.635263597126404
"IRQ","Iraq",2012,"Energy","Oil","China National Petroleum Corp. (CNPC)","Middle East & North Africa",NA,0,218002481737.691,1.88e+09,0.862375503716553
"IRQ","Iraq",2013,"Energy","Oil","China National Petroleum Corp. (CNPC)","Middle East & North Africa",NA,0,234637675128.645,1.8e+09,0.767140229723599
"IRQ","Iraq",2014,"Energy","Oil","China National Petroleum Corp. (CNPC)","Middle East & North Africa",NA,0,228415656174.957,1.03e+09,0.45093231228032
"IRQ","Iraq",2015,"Energy","Oil","Zhongman Petroleum","Middle East & North Africa",NA,0,166774109673.732,6.7e+08,0.401741014424093
"IRQ","Iraq",2016,"Energy","Gas","China National Petroleum Corp. (CNPC)","Middle East & North Africa",NA,0,166602488747.885,1.29e+09,0.774298157065422
"IRQ","Iraq",2018,"Energy","Oil","China North Industries (Norinco)","Middle East & North Africa","0.9",1,227367469034.031,1.83e+09,0.804864481174348
"IRQ","Iraq",2019,"Energy","Gas","China National Petroleum Corp. (CNPC)","Middle East & North Africa","1",1,235097182233.503,3.4e+09,1.44621044271941
"IRQ","Iraq",2020,"Energy","Gas","China National Petroleum Corp. (CNPC)","Middle East & North Africa",NA,1,166756984395.973,2e+08,0.119935006455316
"ISR","Israel",2014,"Transport","Shipping","China Communications Construction","Middle East & North Africa",NA,0,310944937638.436,9.5e+08,0.305520330131456
"ISR","Israel",2016,"Energy","Hydro","Power Construction Corp. (PowerChina)","Middle East & North Africa",NA,0,319024417316.889,2.6e+08,0.0814984640319052
"ISR","Israel",2017,"Transport","Rail","Shenzhen Metro, China Railway Construction","Middle East & North Africa",NA,0,355277223507.485,1.7e+08,0.047849957371787
"ISR","Israel",2018,"Transport","Rail","China Railway Engineering","Middle East & North Africa",NA,0,373641241440.789,7.1e+08,0.190021850174297
"ISR","Israel",2019,"Energy","Gas","China Communications Construction","Middle East & North Africa","0.49",0,397934596952.56,7.8e+08,0.196012110023444
"ITA","Italy",2010,"Energy","Alternative","Jiangsu Zongyi","Europe & Central Asia","1",0,2134017843247.16,2e+08,0.00937199286467429
"ITA","Italy",2012,"Transport","Shipping","Shandong Heavy Industry","Europe & Central Asia","0.75",0,2087077032435.15,4.6e+08,0.0220403939505426
"ITA","Italy",2014,"Energy","Oil","State Administration of Foreign Exchange (SAFE)","Europe & Central Asia","0.02",0,2159133919743.77,6.18e+09,0.286225877120832
"ITA","Italy",2015,"Energy","Alternative","China Three Gorges","Europe & Central Asia","0.49",0,1835899237320.04,1e+08,0.00544692202966299
"ITA","Italy",2016,"Transport","Shipping","China Ocean Shipping (COSCO)","Europe & Central Asia","0.4",0,1875797463583.87,1.5e+08,0.00799659893522898
