"country","iso","year","exports","region","exports_share_percent_gdp","bri_dummy","oil_price","average_ng_price","average_coal_price","gdp","connectivity_index","resource_rents","trade_share_gdp","covid_19","investment_stock","bri_investment_stock","time"
"Samoa","WSM",2015,14628000,"East Asia & Pacific",1.85562146043839,0,4.04662006358545,6.30535954301075,59.7940384615384,4071.92695930307,1.79082671486459,0,78.06330448526,0,0,0,11
"Samoa","WSM",2016,12012000,"East Asia & Pacific",1.50267125799455,0,3.85355969385682,4.43687319065343,65.3691257861635,4109.66322774081,1.89830896663686,0,79.3920792029744,0,0,0,12
"Samoa","WSM",2017,12862000,"East Asia & Pacific",1.54562809148607,0,4.04689160314432,5.09512962675765,91.5104134615385,4258.97876710344,1.81245057682307,0,78.7097195640856,0,0,0,13
"Samoa","WSM",2018,11916000,"East Asia & Pacific",1.45052429519219,0,4.29725633055719,6.04922391956162,101.327057692308,4187.50472923664,1.9319881116673,0,84.4275521735577,0,0,0,14
"Samoa","WSM",2019,12181000,"East Asia & Pacific",1.42927512705098,0,4.17442925076913,5.94466953577337,74.85525,4322.86845664045,2.01101534107336,0,89.4754498372301,0,0,0,15
"Samoa","WSM",2020,5324000,"East Asia & Pacific",0.65970511365043,0,3.73381329834217,4.80842897022332,60.7767916666667,4067.84345873762,2.05189685663405,0,82.6736218825324,1,0,0,16
"Saudi Arabia","SAU",2006,188061391000,"Middle East & North Africa",49.8968753717565,0,4.42641369296762,6.63830839019851,60.6080769230769,15384.7383584183,3.67628385560113,52.2419583587538,89.9446041479965,0,0,0,2
"Saudi Arabia","SAU",2007,204826696000,"Middle East & North Africa",49.241378796121,0,4.50378389936413,7.23011011166253,86.7851923076923,16516.6317804658,3.77034926063579,48.5243149844801,94.8633003614849,0,0,0,3
"Saudi Arabia","SAU",2008,279181472000,"Middle East & North Africa",53.7097390665537,0,4.76139812446382,10.5482546267576,147.673653846154,20078.2600730401,3.81429199887502,55.5043403194756,96.1026422187634,0,0,0,4
"Saudi Arabia","SAU",2009,162620041000,"Middle East & North Africa",37.8981209819173,0,4.30943394623598,6.55813818238213,74.3888461538461,16113.1437100059,3.78101377017244,35.4380054688715,84.8583351128759,0,0,0,5
"Saudi Arabia","SAU",2010,214435992000,"Middle East & North Africa",40.5969358524882,0,4.54704699396286,7.40939050868486,98.8524528301887,19262.5476010256,4.24864890734939,42.118526324176,82.5498069392597,0,0,0,6
