"country","project","finance","stage","xcoord","ycoord","iso","region"
"Uganda","Isimba Hydroelectric Power Station",568,"Commissioned",3677907.122,85934.88689,"UGA","Sub-Saharan Africa"
"Uganda","Karuma Hydroelectric Power Station",1700,"Under Construction",3588670.198,250883.9611,"UGA","Sub-Saharan Africa"
"Uzbekistan","Dargom Canal Hydropower Plant",30,"Planning",7836431.593,5147212.194,"UZB","Europe & Central Asia"
"Uzbekistan","Angren Coal Power Station",166,"Complete",7800767.459,5012812.22,"UZB","Europe & Central Asia"
"Uzbekistan","Gas to Oil Processing Plant",1200,"Ongoing",7315625.371,4701669.74,"UZB","Europe & Central Asia"
"Uzbekistan","Central Asia-China Gas Pipeline",1217,"Construction",7078415.462,4939745.154,"UZB","Europe & Central Asia"
"Uzbekistan","Central Asia-China Gas Pipeline",1217,"Complete",7322691.473,4702635.607,"UZB","Europe & Central Asia"
"Vietnam","Thai Binh-2 Thermal Power Plant",1200,"Ongoing",12038111.66,1238438.226,"VNM","East Asia & Pacific"
"Vietnam","Vin Tan 1 Thermal Power Plant",1750,"Ongoing",11834275.99,2383920.118,"VNM","East Asia & Pacific"
"Zimbabwe","Hwange Makomo Power Station / Southern Energy Power Project",1488,"Shelved",2950283.706,-2077851.568,"ZWE","Sub-Saharan Africa"
