"country","year","connectivity_index","iso"
"Bahamas","2013",25.5819217933,"BHS"
"Bahamas","2014",25.0076166085,"BHS"
"Bahamas","2015",26.2128987235,"BHS"
"Bahamas","2016",26.3828665611,"BHS"
"Bahamas","2017",26.8501487097,"BHS"
"Bahamas","2018",29.3046976487,"BHS"
"Bahamas","2019",27.4513946806,"BHS"
"Bahamas","2020",31.485926066,"BHS"
"Bahrain","2006",7.1085366036,"BHR"
"Bahrain","2007",8.3065819096,"BHR"
"Bahrain","2008",8.7369390706,"BHR"
"Bahrain","2009",6.4547848808,"BHR"
"Bahrain","2010",28.1312209703,"BHR"
"Bahrain","2011",17.3573019162,"BHR"
"Bahrain","2012",17.2670774404,"BHR"
"Bahrain","2013",21.8992965905,"BHR"
"Bahrain","2014",22.9175956587,"BHR"
"Bahrain","2015",22.7617924926,"BHR"
"Bahrain","2016",20.8341933862,"BHR"
"Bahrain","2017",11.5630611075,"BHR"
"Bahrain","2018",30.8273859019,"BHR"
"Bahrain","2019",25.2347508697,"BHR"
"Bahrain","2020",9.291756189,"BHR"
"Bangladesh","2006",7.7335572126,"BGD"
"Bangladesh","2007",8.1455825016,"BGD"
"Bangladesh","2008",8.7064365683,"BGD"
"Bangladesh","2009",8.2506156477,"BGD"
"Bangladesh","2010",14.1799812058,"BGD"
"Bangladesh","2011",8.0979436153,"BGD"
"Bangladesh","2012",8.2641685057,"BGD"
"Bangladesh","2013",7.6586923906,"BGD"
"Bangladesh","2014",8.8748052639,"BGD"
"Bangladesh","2015",9.9263126344,"BGD"
"Bangladesh","2016",11.5006476399,"BGD"
"Bangladesh","2017",11.5247359759,"BGD"
"Bangladesh","2018",12.6297054378,"BGD"
"Bangladesh","2019",12.6685666457,"BGD"
"Bangladesh","2020",12.6329177205,"BGD"
"Barbados","2006",7.7857731216,"BRB"
"Barbados","2007",7.1821997697,"BRB"
"Barbados","2008",8.6029810329,"BRB"
"Barbados","2009",8.2281114609,"BRB"
"Barbados","2010",8.1599106093,"BRB"
"Barbados","2011",9.9591797266,"BRB"
"Barbados","2012",7.4806458899,"BRB"
"Barbados","2013",7.6014469122,"BRB"
"Barbados","2014",7.6419003289,"BRB"
"Barbados","2015",7.6078081472,"BRB"
"Barbados","2016",7.7314876354,"BRB"
"Barbados","2017",8.9819104275,"BRB"
"Barbados","2018",8.4525955702,"BRB"
"Barbados","2019",8.0573100824,"BRB"
"Barbados","2020",7.3829757963,"BRB"
"Belgium","2006",72.4104394294,"BEL"
"Belgium","2007",73.5329531859,"BEL"
"Belgium","2008",76.9610173031,"BEL"
"Belgium","2009",83.4566455697,"BEL"
"Belgium","2010",88.0317798781,"BEL"
"Belgium","2011",79.7950154264,"BEL"
"Belgium","2012",78.2299870751,"BEL"
"Belgium","2013",78.6847132217,"BEL"
"Belgium","2014",77.0727246591,"BEL"
"Belgium","2015",83.5922795347,"BEL"
"Belgium","2016",85.7782803911,"BEL"
"Belgium","2017",85.8710530041,"BEL"
"Belgium","2018",85.5844220624,"BEL"
"Belgium","2019",84.5871406276,"BEL"
"Belgium","2020",89.1203564205,"BEL"
"Belize","2006",3.3354060706,"BLZ"
"Belize","2007",3.1922802216,"BLZ"
"Belize","2008",4.871212242,"BLZ"
"Belize","2009",4.8953048763,"BLZ"
"Belize","2010",7.732475909,"BLZ"
"Belize","2011",3.4143237545,"BLZ"
"Belize","2012",7.8186425046,"BLZ"
"Belize","2013",8.0036456912,"BLZ"
"Belize","2014",8.2721130305,"BLZ"
"Belize","2015",8.2551779846,"BLZ"
"Belize","2016",8.6214043615,"BLZ"
"Belize","2017",9.1014929329,"BLZ"
"Belize","2018",8.8013562568,"BLZ"
"Belize","2019",10.9986344028,"BLZ"
"Belize","2020",8.6492923091,"BLZ"
"Benin","2006",11.8164119783,"BEN"
"Benin","2007",10.8513727105,"BEN"
"Benin","2008",12.0114146002,"BEN"
"Benin","2009",11.5011624219,"BEN"
"Benin","2010",20.9525762408,"BEN"
"Benin","2011",12.9281897609,"BEN"
"Benin","2012",13.3581350344,"BEN"
"Benin","2013",14.3852072265,"BEN"
"Benin","2014",15.9434504327,"BEN"
"Benin","2015",16.920848588,"BEN"
"Benin","2016",18.8754824473,"BEN"
"Benin","2017",17.0874841175,"BEN"
"Benin","2018",18.383423315,"BEN"
"Benin","2019",18.1791039285,"BEN"
"Benin","2020",18.2567659872,"BEN"
"Bermuda","2006",1.6292518612,"BMU"
"Bermuda","2007",1.6292518612,"BMU"
"Bermuda","2008",1.6159789264,"BMU"
"Bermuda","2009",1.6159789264,"BMU"
