"country","year","fossil_share_energy","region","iso","inv_dummy","bri_dummy","gdp","industry_share","pop_size","resource_rents","trade_share_gdp","urban_pop_share","covid_19"
"Lithuania",2009,65.137,"Europe & Central Asia","LTU",0,0,11820.7761591359,25.0918587062542,14.9670049448691,0.0639092782931194,105.338778299376,66.842,0
"Lithuania",2010,95.565,"Europe & Central Asia","LTU",0,0,11987.508411647,26.1980978484105,14.9460355106705,0.0924663485969601,129.887382863414,66.757,0
"Lithuania",2011,94.987,"Europe & Central Asia","LTU",0,0,14376.9478643932,28.0787490107662,14.9234508716822,0.11901714476001,148.447219109978,66.741,0
"Lithuania",2012,94.5,"Europe & Central Asia","LTU",0,0,14367.709424872,28.0159992035956,14.9100388518001,0.104293132453155,155.843160657432,66.864,0
"Lithuania",2013,92.703,"Europe & Central Asia","LTU",0,0,15729.6524666512,27.3948936716951,14.8999187781183,0.0735995454671271,155.886790868636,66.986,0
"Lithuania",2014,92.429,"Europe & Central Asia","LTU",0,0,16551.018202078,27.5077238210517,14.8913205046876,0.0604719201003168,142.721642753591,67.108,0
"Lithuania",2015,92.048,"Europe & Central Asia","LTU",0,0,14258.2293345128,26.7180600025202,14.8819129667211,0.027347707363539,138.552317324475,67.23,0
"Lithuania",2016,90.829,"Europe & Central Asia","LTU",0,0,14998.1250595137,25.9447153605225,14.8692060213912,0.0178913023873252,134.453858437451,67.366,0
"Lithuania",2017,89.633,"Europe & Central Asia","LTU",0,0,16843.699654691,25.8963432866412,14.855222799382,0.0217115820831714,144.873355393449,67.516,0
"Lithuania",2018,92.524,"Europe & Central Asia","LTU",0,0,19176.812150505,25.6193441065756,14.8456808947899,0.0262744742698133,148.592096509788,67.679,0
"Lithuania",2019,91.585,"Europe & Central Asia","LTU",0,0,19575.768481407,25.249391781026,14.8430338512405,0.0493952789018774,149.368674128687,67.855,0
"Luxembourg",2005,98.929,"Europe & Central Asia","LUX",0,0,80957.9412812232,14.4661273579401,13.0501324118019,0,284.077476869478,86.598,0
"Luxembourg",2006,98.727,"Europe & Central Asia","LUX",0,0,90712.7992873459,13.5205791243289,13.0660829309793,0,305.879547488526,87.009,0
"Luxembourg",2007,97.573,"Europe & Central Asia","LUX",0,0,107338.865180515,14.4759684439971,13.0815267994444,0,307.485020085196,87.409,0
"Luxembourg",2008,97.48,"Europe & Central Asia","LUX",0,0,119932.243680485,12.8051473899025,13.099401765767,0,292.21348078343,87.8,0
"Luxembourg",2009,97.525,"Europe & Central Asia","LUX",0,0,108987.677591951,11.0066049191433,13.1179195180713,0,263.532701541684,88.178,0
"Luxembourg",2010,97.655,"Europe & Central Asia","LUX",0,0,110777.907928996,10.997972653402,13.1361735761066,0,293.671876906939,88.547,0
"Luxembourg",2011,97.6,"Europe & Central Asia","LUX",0,0,118869.299909828,10.7084382796237,13.1584001811393,0,308.714453874162,88.906,0
"Luxembourg",2012,97.201,"Europe & Central Asia","LUX",0,0,112591.116202675,10.4267187903737,13.1824156001375,0,311.786835204686,89.249,0
"Luxembourg",2013,96.558,"Europe & Central Asia","LUX",0,0,119966.034888523,10.4429419766443,13.2055273626651,0,320.533506316768,89.574,0
"Luxembourg",2014,95.898,"Europe & Central Asia","LUX",0,0,123514.196686097,10.810880633632,13.2290971497135,0,333.42885319668,89.884,0
"Luxembourg",2015,95.254,"Europe & Central Asia","LUX",0,0,105419.608507426,11.539623433831,13.2526966615272,0,351.13197436149,90.179,0
"Luxembourg",2016,94.883,"Europe & Central Asia","LUX",0,0,106826.726448542,12.0959325625638,13.2742497814071,0,348.437409376889,90.46,0
