"country","year_investment","sector","subsector","quantity_in_millions","investor","region","share_size","iso","bri"
"Australia",2010,"Transport","Shipping",550,"China Merchants","East Asia & Pacific","1","AUS",0
"Australia",2008,"Energy","Coal",190,"Shenhua","East Asia & Pacific",NA,"AUS",0
"Australia",2018,"Energy","Alternative",110,"State Power Investment Corporation","East Asia & Pacific",NA,"AUS",0
"Australia",2019,"Transport","Rail",100,"China Communications Construction","East Asia & Pacific",NA,"AUS",0
"Australia",2019,"Transport","Rail",160,"China Communications Construction","East Asia & Pacific",NA,"AUS",0
"Australia",2016,"Energy","Gas",120,"Legend","East Asia & Pacific","0.02","AUS",0
"Australia",2014,"Energy","Coal",2960,"Yankuang Group","East Asia & Pacific",NA,"AUS",0
"Australia",2016,"Transport","Rail",440,"China Communications Construction","East Asia & Pacific",NA,"AUS",0
"Australia",2009,"Energy","Coal",520,"MCC","East Asia & Pacific","0.1","AUS",0
"Australia",2009,"Energy","Coal",1860,"MCC","East Asia & Pacific",NA,"AUS",0
"Australia",2011,"Energy","Coal",920,"Yankuang Group","East Asia & Pacific","1","AUS",0
"Australia",2018,"Energy","Alternative",100,"Risen Energy","East Asia & Pacific","1","AUS",0
"Australia",2018,"Energy","Alternative",290,"Xinjiang Goldwind","East Asia & Pacific","1","AUS",0
"Australia",2020,"Transport","Rail",170,"China Communications Construction","East Asia & Pacific",NA,"AUS",0
"Australia",2009,"Energy","Coal",2950,"Yankuang Group","East Asia & Pacific","1","AUS",0
"Australia",2011,"Energy","Alternative",2030,"Datang Power, China South Industries","East Asia & Pacific","0.64","AUS",0
"Australia",2020,"Energy","Alternative",290,"Xinjiang Goldwind","East Asia & Pacific","0.5","AUS",0
"Australia",2014,"Energy","Gas",170,"Shandong Landbridge","East Asia & Pacific","1","AUS",0
"Australia",2012,"Energy",NA,510,"State Grid","East Asia & Pacific","0.41","AUS",0
"Australia",2017,"Energy","Gas",290,"State Grid","East Asia & Pacific",NA,"AUS",0
"Australia",2011,"Energy","Coal",210,"Yankuang Group","East Asia & Pacific","1","AUS",0
"Australia",2010,"Energy","Gas",1580,"China National Petroleum Corp. (CNPC)","East Asia & Pacific",NA,"AUS",0
"Australia",2018,"Energy","Alternative",120,"Risen Energy","East Asia & Pacific",NA,"AUS",0
"Australia",2017,"Energy","Coal",1480,"Yankuang Group","East Asia & Pacific",NA,"AUS",0
"Australia",2011,"Energy","Coal",300,"Yankuang Group","East Asia & Pacific","1","AUS",0
"Australia",2014,"Transport","Shipping",820,"China Merchants Group","East Asia & Pacific","0.5","AUS",0
"Australia",2018,"Energy","Gas",460,"ENN Energy","East Asia & Pacific","0.05","AUS",0
"Australia",2010,"Energy","Coal",400,"Guangdong Rising Asset Management","East Asia & Pacific","1","AUS",0
"Australia",2011,"Energy","Alternative",300,"Shenhua","East Asia & Pacific","0.75","AUS",0
"Australia",2017,"Energy","Coal",230,"Yankuang Group","East Asia & Pacific","0.28999999999999998","AUS",0
"Australia",2011,"Energy","Gas",270,"China National Petroleum Corp. (CNPC)","East Asia & Pacific","0.5","AUS",0
"Australia",2014,"Energy","Oil",440,"Fosun","East Asia & Pacific","1","AUS",0
"Australia",2016,"Transport","Rail",320,"China Communications Construction","East Asia & Pacific",NA,"AUS",0
"Australia",2019,"Energy","Gas",100,"State Grid","East Asia & Pacific",NA,"AUS",0
"Australia",2017,"Transport","Rail",200,"China Communications Construction","East Asia & Pacific",NA,"AUS",0
"Australia",2015,"Transport","Shipping",370,"Shandong Landbridge","East Asia & Pacific","0.8","AUS",0
"Australia",2010,"Energy","Coal",130,"Taiyuan Heavy","East Asia & Pacific","1","AUS",0
"Australia",2018,"Energy","Alternative",200,"Xinjiang Goldwind, Power Construction Corp. (PowerChina)","East Asia & Pacific","1","AUS",0
"Australia",2011,"Energy","Gas",990,"China Petroleum and Chemical (Sinopec)","East Asia & Pacific","0.1","AUS",0
"Australia",2018,"Energy","Alternative",280,"Xinjiang Goldwind","East Asia & Pacific",NA,"AUS",0
"Australia",2011,"Energy","Gas",1520,"China Petroleum and Chemical (Sinopec)","East Asia & Pacific","0.15","AUS",0
"Australia",2017,"Energy","Coal",710,"Yankuang Group","East Asia & Pacific","0.28999999999999998","AUS",0
"Australia",2012,"Energy","Gas",1930,"China National Off-shore Oil (CNOOC)","East Asia & Pacific",NA,"AUS",0
"Australia",2011,"Energy","Coal",2210,"Yankuang Group","East Asia & Pacific","0.77","AUS",0
"Australia",2017,"Transport","Rail",1070,"China Communications Construction","East Asia & Pacific",NA,"AUS",0
"Australia",2017,"Energy","Gas",140,"Legend","East Asia & Pacific","0.02","AUS",0
"Australia",2014,"Transport",NA,790,"China Communications Construction","East Asia & Pacific",NA,"AUS",0
"Australia",2018,"Transport","Rail",740,"China Communications Construction","East Asia & Pacific",NA,"AUS",0
"Australia",2015,"Energy","Hydro",2200,"State Power Investment Corporation","East Asia & Pacific","1","AUS",0
"Australia",2020,"Energy","Coal",180,"Yankuang Group","East Asia & Pacific","0.1","AUS",0
"Azerbaijan",2007,"Energy","Gas",210,"China National Machinery Industry (Sinomach)","Europe & Central Asia",NA,"AZE",0
"Bangladesh",2017,"Transport","Rail",190,"Power Construction Corp. (PowerChina)","South Asia",NA,"BGD",1
"Bangladesh",2019,"Energy","Gas",100,"Harbin Electric","South Asia",NA,"BGD",1
"Bangladesh",2016,"Energy","Coal",780,"China Energy Engineering","South Asia","0.5","BGD",1
"Bangladesh",2015,"Transport","Shipping",1550,"Power Construction Corp. (PowerChina)","South Asia",NA,"BGD",0
"Bangladesh",2010,"Energy",NA,160,"China National Chemical Engineering","South Asia",NA,"BGD",0
"Bangladesh",2016,"Energy",NA,1140,"Jiangsu Yongding, China National Machinery Industry (Sinomach)","South Asia",NA,"BGD",1
"Bangladesh",2015,"Energy","Coal",1360,"Power Construction Corp. (PowerChina)","South Asia",NA,"BGD",0
"Bangladesh",2016,"Energy",NA,220,"China Energy Engineering","South Asia",NA,"BGD",1
"Bangladesh",2010,"Energy",NA,270,"Guangdong Power Engineering","South Asia",NA,"BGD",0
"Bangladesh",2012,"Energy",NA,170,"China National Machinery Industry (Sinomach)","South Asia",NA,"BGD",0
"Bangladesh",2016,"Energy",NA,280,"Power Construction Corp. (PowerChina)","South Asia",NA,"BGD",1
"Bangladesh",2019,"Energy","Coal",790,"China North Industries (Norinco)","South Asia","0.5","BGD",1
"Bangladesh",2013,"Energy","Coal",300,"Harbin Electric","South Asia",NA,"BGD",0
"Bangladesh",2016,"Transport","Shipping",390,"China Communications Construction, China State Construction Engineering","South Asia",NA,"BGD",1
"Bangladesh",2012,"Energy","Gas",210,"China Energy Engineering","South Asia",NA,"BGD",0
"Bangladesh",2015,"Energy","Coal",750,"Power Construction Corp. (PowerChina), HTG","South Asia","0.3","BGD",0
"Bangladesh",2016,"Energy","Oil",110,"Power Construction Corp. (PowerChina)","South Asia",NA,"BGD",1
"Bangladesh",2013,"Energy","Coal",180,"China Energy Engineering","South Asia",NA,"BGD",0
"Bangladesh",2011,"Transport","Rail",200,"China Railway Engineering","South Asia",NA,"BGD",0
"Bangladesh",2020,"Energy","Gas",180,"Shanghai Electric","South Asia",NA,"BGD",1
"Bangladesh",2016,"Energy","Oil",100,"China National Machinery Industry (Sinomach)","South Asia",NA,"BGD",1
"Bangladesh",2013,"Energy","Coal",280,"China Energy Engineering","South Asia",NA,"BGD",0
"Bangladesh",2017,"Energy","Oil",690,"China National Petroleum Corp. (CNPC)","South Asia",NA,"BGD",1
"Bangladesh",2016,"Energy",NA,1660,"Tebian Electric Apparatus (TBEA)","South Asia",NA,"BGD",1
"Bangladesh",2018,"Transport","Rail",2760,"China Railway Engineering","South Asia",NA,"BGD",1
"Bangladesh",2018,"Energy","Coal",360,"Power Construction Corp. (PowerChina)","South Asia","0.92","BGD",1
"Bangladesh",2017,"Transport","Rail",110,"China Railway Engineering","South Asia",NA,"BGD",1
"Bangladesh",2020,"Transport","Shipping",120,"China State Shipbuilding","South Asia",NA,"BGD",1
"Bangladesh",2017,"Transport","Rail",210,"China Railway Construction","South Asia",NA,"BGD",1
"Bangladesh",2019,"Energy","Coal",780,"China North Industries (Norinco)","South Asia",NA,"BGD",1
"Bangladesh",2012,"Energy","Gas",110,"China General Technology (Genertec)","South Asia",NA,"BGD",0
"Bangladesh",2014,"Energy","Gas",190,"Shanghai Electric","South Asia",NA,"BGD",0
"Bangladesh",2016,"Energy","Coal",780,"China General Technology (Genertec)","South Asia","0.5","BGD",1
"Bangladesh",2020,"Energy",NA,130,"Power Construction Corp. (PowerChina)","South Asia",NA,"BGD",1
"Belarus",2014,"Energy",NA,340,"China Energy Engineering","Europe & Central Asia",NA,"BLR",0
"Belarus",2010,"Energy",NA,750,"China National Machinery Industry (Sinomach)","Europe & Central Asia",NA,"BLR",0
"Belarus",2008,"Energy",NA,330,"China General Technology (Genertec)","Europe & Central Asia",NA,"BLR",0
"Belarus",2010,"Transport","Rail",170,"China Electronics Technology","Europe & Central Asia",NA,"BLR",0
"Belarus",2010,"Energy","Hydro",230,"China National Machinery Industry (Sinomach)","Europe & Central Asia",NA,"BLR",0
"Belgium",2012,"Energy","Oil",260,"Sinochem","Europe & Central Asia","0.35","BEL",0
"Benin",2014,"Transport","Shipping",640,"China Gansu International Corp for Economic and Technical Cooperation","Sub-Saharan Africa",NA,"BEN",0
"Benin",2015,"Energy","Hydro",160,"Power Construction Corp. (PowerChina)","Sub-Saharan Africa",NA,"BEN",0
"Benin",2019,"Energy","Oil",690,"China National Petroleum Corp. (CNPC)","Sub-Saharan Africa",NA,"BEN",1
"Bolivia",2013,"Transport","Rail",100,"China National Machinery Industry (Sinomach)","Latin America & Caribbean",NA,"BOL",0
"Bolivia",2016,"Energy","Hydro",990,"China Three Gorges","Latin America & Caribbean",NA,"BOL",0
"Bolivia",2017,"Energy","Hydro",190,"Power Construction Corp. (PowerChina)","Latin America & Caribbean",NA,"BOL",0
"Bolivia",2014,"Energy","Hydro",240,"Power Construction Corp. (PowerChina)","Latin America & Caribbean",NA,"BOL",0
"Bosnia & Herzegovina",2020,"Energy","Hydro",220,"China Energy Engineering","Europe & Central Asia",NA,"BIH",1
"Bosnia & Herzegovina",2010,"Energy","Coal",710,"Dongfang Electric Corporation","Europe & Central Asia",NA,"BIH",0
"Bosnia & Herzegovina",2013,"Energy","Gas",280,"Power Construction Corp. (PowerChina)","Europe & Central Asia",NA,"BIH",0
"Bosnia & Herzegovina",2020,"Energy","Coal",120,"China Energy Engineering","Europe & Central Asia",NA,"BIH",1
"Botswana",2009,"Energy",NA,970,"China National Machinery Industry (Sinomach)","Sub-Saharan Africa",NA,"BWA",0
"Botswana",2009,"Energy","Hydro",100,"Sinohydro","Sub-Saharan Africa",NA,"BWA",0
"Botswana",2018,"Energy","Oil",100,"China Petroleum and Chemical (Sinopec)","Sub-Saharan Africa",NA,"BWA",0
"Brazil",2005,"Energy","Coal",430,"China International Trust and Investment (CITIC)","Latin America & Caribbean",NA,"BRA",0
"Brazil",2006,"Energy","Gas",1290,"China Petroleum and Chemical (Sinopec)","Latin America & Caribbean",NA,"BRA",0
"Brazil",2020,"Energy","Gas",260,"State Power Investment Corporation","Latin America & Caribbean","0.33","BRA",0
"Brazil",2020,"Transport","Rail",380,"Power Construction Corp. (PowerChina)","Latin America & Caribbean",NA,"BRA",0
"Brazil",2016,"Energy",NA,110,"State Grid","Latin America & Caribbean",NA,"BRA",0
"Brazil",2009,"Transport","Shipping",100,"China Communications Construction","Latin America & Caribbean",NA,"BRA",0
"Brazil",2008,"Energy","Oil",110,"China Investment Corporation (CIC)","Latin America & Caribbean",NA,"BRA",0
"Brazil",2019,"Transport","Rail",680,"BYD","Latin America & Caribbean",NA,"BRA",0
