"year","oil_price","average_ng_price","average_coal_price"
2000,42.8277334945058,4.72325074958643,33.99
2001,35.7218965934083,4.13766219499586,38.0342307692308
2002,35.9994100081441,3.77340195926385,31.1496153846154
2003,40.5527342743716,4.76917907361456,40.0978846153846
2004,52.4266962149285,5.18203318858561,72.1343396226415
2005,72.2511914647922,6.54770859181141,61.0392307692308
2006,83.6309521809896,6.63830839019851,60.6080769230769
2007,90.3583923078872,7.23011011166253,86.7851923076923
2008,116.909265391904,10.5482546267576,147.673653846154
2009,74.3983635451294,6.55813818238213,74.3888461538461
2010,94.3533704448914,7.40939050868486,98.8524528301887
2011,128.008804488899,9.22930882961125,123.48
2012,125.880237910906,9.7481680366005,98.9996153846154
2013,120.717641654287,9.66938714846981,86.1890384615385
2014,108.172458992028,10.3293043062448,76.3807692307692
2015,57.2037847746315,6.30535954301075,59.7940384615384
2016,47.1606422381027,4.43687319065343,65.3691257861635
2017,57.2193199742303,5.09512962675765,91.5104134615385
2018,73.4978629699404,6.04922391956162,101.327057692308
2019,65.0027288140556,5.94466953577337,74.85525
2020,41.8383464566929,4.80842897022332,60.7767916666667
